Issue Type,Summary,Epic Name,Epic Link,Description,Labels
Story,Verify deploy-logic tests pass,,ZIXHR Deploy Checkpoint,"Ensure all deploy-logic tests pass; raise questions if any arise.",zixhr-wp-workflow
Epic,GitHub Actions Deploy_Workflow,ZIXHR Actions Workflow,,"Author the GitHub Actions workflow that runs the deploy on merge to main.",zixhr-wp-workflow
Story,Create .github/workflows/deploy.yml,,ZIXHR Actions Workflow,"Trigger on push to main; concurrency deploy-main (no overlap); checkout, load DEPLOY_SSH_KEY into ssh-agent, run scripts/deploy.sh with DEPLOY_HOST/DEPLOY_USER env. Requirements: 2.4, 3.1",zixhr-wp-workflow
Story,[Optional] Workflow lint / integration checks,,ZIXHR Actions Workflow,"Validate deploy.yml parses and secrets wired; note integration-verified behaviors: merge trigger <=60s (2.4,2.5,3.1), branch protection (2.3), 30s SSH connect (3.2), cache flush <=60s (5.5). Requirements: 2.3, 2.4, 2.5, 3.1, 3.2, 5.5",zixhr-wp-workflow;optional;test
Epic,Setup documentation (docs/SETUP.md),ZIXHR Setup Docs,,"Author docs/SETUP.md capturing Manual - Site_Owner server-side steps.",zixhr-wp-workflow
Story,Write repository-seeding section,,ZIXHR Setup Docs,"Ordered Manual - Site_Owner steps to git init in /var/www/html, apply Ignore_File, first commit; command text, verification, remediation. Requirements: 1.5, 1.6, 8.1-8.3, 8.5, 8.6",zixhr-wp-workflow
Story,Write Deploy_Key and Actions_Secret section,,ZIXHR Setup Docs,"Manual steps to generate deploy key, install public key on VM, store private key + DEPLOY_HOST/DEPLOY_USER as secrets; outputs->consumers, verification, remediation. Requirements: 3.3, 8.1-8.6",zixhr-wp-workflow
Story,Write pull-request process section,,ZIXHR Setup Docs,"Describe feature branch -> PR to main -> >=1 approving review -> merge; note main reflects deployed state. Requirements: 2.6",zixhr-wp-workflow
Story,Write content-management statements,,ZIXHR Setup Docs,"State content/settings are managed exclusively via WordPress Admin, stored in the DB, and excluded from the repo. Requirements: 6.1, 6.2",zixhr-wp-workflow
Story,[Optional] SETUP.md completeness review checklist,,ZIXHR Setup Docs,"Checklist verifying every server-side step is labeled Manual - Site_Owner, dependency-ordered, has command text, output->consumer mapping, verification, remediation. Requirements: 8.1, 8.3-8.6",zixhr-wp-workflow;optional;test
Epic,Maintenance documentation (docs/MAINTENANCE.md),ZIXHR Maintenance Docs,,"Author docs/MAINTENANCE.md for the Manual - Site_Owner OS update/upgrade path.",zixhr-wp-workflow
Story,Write end-of-support and immediate-updates section,,ZIXHR Maintenance Docs,"State Ubuntu 20.04 end-of-standard-support (31 May 2025) and ESM availability; ordered commands + completion indicator for 3 immediate updates; recovery action. Requirements: 7.1, 7.2, 7.5",zixhr-wp-workflow
Story,Write ESM enablement and upgrade-path section,,ZIXHR Maintenance Docs,"Ordered commands + completion indicator to enable ESM and apply 157 ESM updates; do-release-upgrade to 22.04.5 with prerequisites and post-upgrade version indicator; per-step recovery. Requirements: 7.3, 7.4, 7.5",zixhr-wp-workflow
Epic,Final checkpoint,ZIXHR Final Checkpoint,,"Final checkpoint: ensure all tests pass and docs are complete.",zixhr-wp-workflow
Story,Verify all tests pass and docs complete,,ZIXHR Final Checkpoint,"Ensure all tests pass and documentation is complete; raise questions if any arise.",zixhr-wp-workflow
